course,credits,required,title
CHEME-2880,4,true,Biomolecular Engineering: Fundamentals and Applications
CHEME-3130,4,true,Chemical Engineering Thermodynamics
CHEME-3240,4,true,Heat and Mass Transfer
CHEME-4320,4,true,Chemical Engineering Laboratory
CHEME-4800,4,false,Principles of Computational Thinking for Engineers
CHEME-4840,3,false,Microchemical and Microfluidic Systems
CHEME-4880,3,false,"Global Food, Energy, and Water Nexus"
CHEME-4998,1,false,International Research Internship
CHEME-5020,3,false,Immersive Professional Development for Chemical Engineering M. Eng.
CHEME-5310,3,false,Principles of Electrochemical Engineering
CHEME-5320,3,false,"Glass: Structure, Properties and Modern Applications"
CHEME-5650,1,false,Design Project
CHEME-5651,1,false,M. Eng. Design Project Studio
CHEME-5660,3,false,"Financial Data, Markets, and Mayhem for Scientists and Engineers"
CHEME-5730,4,false,Interdisciplinary Design Concepts
CHEME-5770,3,false,Principles in Process and Lean Engineering
CHEME-5870,1,false,Energy Seminar I
CHEME-5990,1,false,Medical and Industrial Biotechnology Seminar
CHEME-5999,1,false,Special Projects in Chemical Engineering
CHEME-6110,3,true,Mathematical Methods of Chemical Engineering Analysis
CHEME-6130,3,true,Advanced Chemical Engineering Thermodynamics
CHEME-6230,3,true,Transport Phenomena for Chemical and Biomolecular Engineering
CHEME-6310,3,false,Engineering Principles for Drug Delivery
CHEME-6440,3,false,Aerosols and Colloids
CHEME-6660,2,false,Analysis of Sustainable Energy Systems
CHEME-6662,1,false,Solar Energy Module
CHEME-6681,1,false,Energy Analysis Project
CHEME-6800,4,false,Computational Optimization
CHEME-6810,3,false,AI for Sustainability
CHEME-6830,1,false,AI for Energy Systems
CHEME-6840,1,false,AI for Digital Agriculture
CHEME-6920,1,false,Principles and Practices of Graduate Research
CHEME-6950,3,false,Engineering Education Teaching and Research Methods
CHEME-7700,1,false,Chemical Engineering Graduate Research Seminar
CHEME-7900,1,false,Chemical Engineering Seminar
ENGRI-1120,3,true,"Feast! Chemical and Biomolecular Processes and Products through Food"
ENGRD-2190,4,true,Chemical Process Design and Analysis
