course,credits,index,coursenodeindex,coursecompletionnode
CHEME-2880,4,1,33,70
CHEME-3130,4,2,34,71
CHEME-3240,4,3,35,72
CHEME-4320,4,4,36,73
CHEME-4800,4,5,37,74
CHEME-4840,3,6,38,75
CHEME-4880,3,7,39,76
CHEME-4998,1,8,40,77
CHEME-5020,3,9,41,78
CHEME-5310,3,10,42,79
CHEME-5320,3,11,43,80
CHEME-5650,1,12,44,81
CHEME-5651,1,13,45,82
CHEME-5660,3,14,46,83
CHEME-5730,4,15,47,84
CHEME-5770,3,16,48,85
CHEME-5870,1,17,49,86
CHEME-5990,1,18,50,87
CHEME-5999,1,19,51,88
CHEME-6110,3,20,52,89
CHEME-6130,3,21,53,90
CHEME-6230,3,22,54,91
CHEME-6310,3,23,55,92
CHEME-6440,3,24,56,93
CHEME-6660,2,25,57,94
CHEME-6662,1,26,58,95
CHEME-6681,1,27,59,96
CHEME-6800,4,28,60,97
CHEME-6810,3,29,61,98
CHEME-6830,1,30,62,99
CHEME-6840,1,31,63,100
CHEME-6920,1,32,64,101
CHEME-6950,3,33,65,102
CHEME-7700,1,34,66,103
CHEME-7900,1,35,67,104
ENGRI-1120,3,36,68,105
ENGRD-2190,4,37,69,106
